Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
Lauri Markkanen,CHI,0.016,0.83,0.17,1.09,0.024,1,0.154,0.95,0.038,0.68,0.314,0.96,0.027,0.85,0.063,1.17
Derrick Jones jr.,MIA,0,0,0.309,1.5,0.023,0.4,0,0,0,0,0.315,0.84,0,0,0.184,1.46
Derrick White,SAS,0.027,0.8,0.176,1.05,0.315,1,0.016,1.33,0,0,0.293,1.08,0.037,1.48,0.019,1.36
Monte Morris,DEN,0.031,0.85,0.177,1.17,0.417,0.92,0,0,0,0,0.18,1.02,0.071,1.02,0.057,1.38
Tomas Satoransky,CHI,0.038,0.96,0.161,1.14,0.32,0.77,0,0,0,0,0.25,0.9,0.06,0.57,0.044,1.13
John Collins,ATL,0.019,1.14,0.124,1.44,0,0,0.28,1.31,0.081,1.08,0.16,0.93,0.019,0.86,0.136,1.26
Kristaps Porzingis,DAL,0.042,0.54,0.094,1.21,0.014,0.44,0.156,1.17,0.151,0.81,0.258,1,0.018,1,0.07,1.58
Kevin Huerter,ATL,0.022,0.69,0.168,1.05,0.291,0.81,0,0,0,0,0.223,1.22,0.133,0.81,0.025,1
Duncun Robinson,MIA,0,0,0.11,1.43,0.022,1.65,0.019,1.07,0,0,0.329,1.23,0.235,1.38,0.045,1.74
Serge Ibaka,TOR,0,0,0.103,1.38,0,0,0.306,1,0.067,0.96,0.184,0.78,0,0,0.146,1.16
Avery Bradley,LAL,0,0,0.215,1.17,0.152,0.81,0.023,1.7,0,0,0.29,0.8,0.113,1.02,0.066,1.21
Jae Crowder,MIA,0,0,0.25,0.94,0.102,0.98,0,0,0,0,0.28,0.76,0.091,0.93,0.039,1.05
Kelly Oubre jr.,PHO,0.031,0.87,0.225,1.23,0.151,0.92,0,0,0,0,0.261,1.02,0.094,0.92,0.092,1.14
Gary Trent jr.,POR,0.062,0.77,0.216,1.04,0.141,0.91,0,0,0,0,0.38,1.26,0.068,1.55,0,0
Clint Capela,ATL,0,0,0.164,1.32,0,0,0.17,1.1,0.032,1.13,0,0,0,0,0.381,1.21
Jerami Grant,DEN,0.04,0.9,0.11,1.19,0.033,0.73,0.11,1.21,0.078,0.95,0.353,1.07,0.04,0.97,0.123,1.46
Zion Williamson,NOP,0.048,0.88,0.168,1.2,0,0,0.1,1.16,0.202,0.92,0.104,0.77,0.024,0.92,0.18,1.39
