player,team,iso_freq,tra_freq,prh_freq,prr_freq,postup_freq,spotup_freq,handoff_freq,cut_freq,iso_pts,tra_pts,prh_pts,prr_pts,postup_pts,spotup_pts,handoff_pts,cut_pts,on_ball_creation,off_ball_finishing,transition_impact,iso_impact,prh_impact,spotup_impact,overall_efficiency,play_diversity,pca1,pca2,cluster_kmeans,cluster_dbscan,cluster_kmodes,archetype
Fred Vanvleet,TOR,0.076,0.25,0.318,0.0,0.0,0.164,0.046,0.014,0.81,1.11,0.84,0.0,0.0,1.09,0.58,1.5,0.44,0.17800000000000002,0.2775,0.061560000000000004,0.26711999999999997,0.17876000000000003,0.9592396302312907,4.0,1.0199931260250426,-1.7767702513053276,0,4,0,⚡ Iso Creator / Star Guard
Kyle Lowry,TOR,0.061,0.286,0.28,0.017,0.0,0.13,0.044,0.012,0.87,1.04,1.02,0.68,0.0,1.16,0.82,1.08,0.385,0.15900000000000003,0.29744,0.05307,0.2856,0.1508,1.021096384311932,4.0,0.7819643137117797,-1.5791458779050163,0,4,2,⚡ Iso Creator / Star Guard
Jaren Jackson jr.,MEM,0.064,0.133,0.022,0.114,0.125,0.253,0.05,0.059,0.93,1.22,1.0,1.24,0.84,1.11,1.23,1.35,0.261,0.426,0.16226000000000002,0.05952,0.022,0.28083,1.1123414620581202,6.0,-2.4458150604228335,3.6508780002054575,2,-1,1,✂️ Off-Ball Cutter / Finisher
Karl-Anthony Towns,MIN,0.06,0.09,0.018,0.172,0.203,0.179,0.027,0.042,1.12,1.07,1.33,1.07,0.95,1.27,0.96,1.62,0.30800000000000005,0.393,0.0963,0.06720000000000001,0.02394,0.22733,1.119620731833602,5.0,-1.3539640860173237,5.736621506498264,2,-1,0,✂️ Off-Ball Cutter / Finisher
Tim Hardaway jr.,DAL,0.064,0.159,0.19,0.021,0.01,0.301,0.056,0.02,0.83,1.07,0.96,1.27,0.8,1.27,1.24,1.1,0.32,0.342,0.17013,0.05312,0.1824,0.38227,1.1133130315306783,5.0,-1.0924382961965462,0.3806187585980097,1,-1,0,🎯 Spot-Up 3PT Shooter
Goran Dragic,MIA,0.048,0.155,0.393,0.0,0.0,0.161,0.122,0.034,1.13,1.05,0.94,0.0,0.0,1.01,0.98,1.33,0.563,0.195,0.16275,0.05424,0.36941999999999997,0.16261,1.0008762311052835,4.0,2.5213252407443427,-1.5870370554382154,0,2,2,⚡ Iso Creator / Star Guard
Bogdan Bogdanovic,SAC,0.059,0.14,0.248,0.0,0.015,0.243,0.097,0.034,0.94,1.18,0.88,0.0,0.79,1.05,0.98,1.45,0.41900000000000004,0.277,0.1652,0.055459999999999995,0.21824,0.25515,1.0170574150513667,5.0,0.4807878441276253,-0.1645125010625527,0,-1,0,⚡ Iso Creator / Star Guard
Kyle Kuzma,LAL,0.096,0.198,0.104,0.033,0.045,0.28,0.03,0.058,0.65,1.12,0.77,1.0,0.92,1.07,0.84,1.13,0.275,0.371,0.22176000000000004,0.062400000000000004,0.08008,0.29960000000000003,0.9822037903054457,5.0,-2.0133861506587736,0.791865957870353,1,-1,0,🎯 Spot-Up 3PT Shooter
Eric Gordon,HOU,0.09,0.199,0.133,0.026,0.0,0.303,0.088,0.026,1.02,0.93,1.01,1.0,0.0,0.91,0.79,0.86,0.311,0.35500000000000004,0.18507,0.09179999999999999,0.13433,0.27573,0.9304161838954726,5.0,-0.3764886042982871,-0.6511514070563547,0,-1,0,⚡ Iso Creator / Star Guard
Alec Burks,GSW,0.071,0.127,0.358,0.0,0.039,0.132,0.097,0.036,0.87,1.16,0.92,0.0,0.93,1.02,1.21,1.32,0.565,0.168,0.14731999999999998,0.06176999999999999,0.32936,0.13464,1.0165697662598026,5.0,2.538017036294493,0.25639476408116046,0,1,2,⚡ Iso Creator / Star Guard
